Kod_TERYT;nazwa_samorządu;Województwo;Powiat;typ_JST;nazwa_urzędu_JST;miejscowość;Kod pocztowy;poczta;Ulica;Nr domu;telefon-kierunkowy;telefon;wewnętrzny;fax-kierunkowy;FAX;stanowisko;Imię;Nazwisko;ogólny adres mail'owy gminy/powiatu/województwa;adres www jednostki;Kategoria gminy
0201022;Bolesławiec;dolnośląskie;bolesławiecki;GW;Urząd Gminy Bolesławiec;Bolesławiec;59-700;Bolesławiec;ul.Teatralna;1a;(75);732-32-21;;(75);735-17-83;Wójt;Andrzej Zbigniew;Dutkowski;urzadgminy@gminaboleslawiec.pl;www.gminaboleslawiec.pl;1
0201043;Nowogrodziec;dolnośląskie;bolesławiecki;GMW;Urząd Miejski w Nowogrodźcu;Nowogrodziec;59-730;Nowogrodziec;Rynek;1;(75);738-06-60;;(75);731-64-16;Burmistrz;Robert Marek;Relich;urzad@nowogrodziec.pl;www.nowogrodziec.pl;1
0201052;Osiecznica;dolnośląskie;bolesławiecki;GW;Urząd Gminy Osiecznica;Osiecznica;59-724;Osiecznica;ul. Lubańska;43;(75);731-21-07;;(75);731-21-48;Wójt;Waldemar Jerzy;Nalazek;info@osiecznica.ug.gov.pl;www.osiecznica.ug.gov.pl;1
0201062;Warta Bolesławiecka;dolnośląskie;bolesławiecki;GW;Urząd Gminy Warta Bolesławiecka;Warta Bolesławiecka;59-720;Raciborowice Górne;;40c;(75);738-95-92;;(75);738-95-23;Wójt;Mirosław;Haniszewski;urzad@wartabol.pl;www.wartabol.pl;1
0202052;Dzierżoniów;dolnośląskie;dzierżoniowski;GW;Urząd Gminy Dzierżoniów;Dzierżoniów;58-200;Dzierżoniów;ul. Piastowska;1;(74);832-56-95;;(74);832-56-94;Wójt;Marek;Chmielewski;sekretariat@ug.dzierzoniow.pl;www.ug.dzierzoniow.pl;1
0203022;Głogów;dolnośląskie;głogowski;GW;Urząd Gminy Głogów;Głogów;67-200;Głogów;ul. Słodowa;2b;(76);836-55-55;;(76);836-55-67;Wójt;Joanna;Gniewosz;gmina@ugglogow.com.pl;www.ugglogow.com.pl;1
0203042;Kotla;dolnośląskie;głogowski;GW;Urząd Gminy Kotla;Kotla;67-240;Kotla;ul. Głogowska;93;(76);831-83-61;;(76);831-83-08;Wójt;Łukasz;Hornatowski;gmina@kotla.pl;www.kotla.pl;1
0203052;Pęcław;dolnośląskie;głogowski;GW;Urząd Gminy Pęcław;Pęcław;67-221;Białołęka;Pęcław;28;(76);831-71-26;;(76);831-70-33;Wójt;Artur Andrzej;Jurkowski;peclaw@peclaw.eu;www.peclaw.eu;1
0203062;Żukowice;dolnośląskie;głogowski;GW;Urząd Gminy Żukowice;Żukowice;67-231;Żukowice;;92;(76);831-42-41;;(76);831-41-49;Wójt;Krzysztof;Wołoszyn;gmina@zukowice.pl;www.zukowice.pl;1
0204022;Jemielno;dolnośląskie;górowski;GW;Urząd Gminy Jemielno;Jemielno;56-209;Jemielno;;81;(65);544-74-79;;(65);544-74-82;Wójt;Jan;Ucinek;ugjemielno@poczta.onet.pl;http://www.jemielno.pl/;1
0204032;Niechlów;dolnośląskie;górowski;GW;Urząd Gminy Niechlów;Niechlów;56-215;Niechlów;ul. Głogowska;31;(65);543-56-88;;(65);543-58-14;Wójt;Beata;Pona;urzad@niechlow.pl;www.niechlow.com.pl;1
0204043;Wąsosz;dolnośląskie;górowski;GMW;Urząd Miejski Wąsosza;Wąsosz;56-210;Wąsosz;Plac. Wolności;17;(65);543-78-50;;(65);543-77-08;Burmistrz;Zbigniew;Stuczyk;wasosz@dolnyslask.pl;http://www.wasosz.eu/;1
0206052;Janowice Wielkie;dolnośląskie;jeleniogórski;GW;Urząd Gminy Janowice Wielkie;Janowice Wielkie;58-520;Janowice Wielkie;ul. Kolejowa;2;(75);751-51-24;103;(75);751-52-85;Wójt;Kamil;Kowalski;gmina@janowicewielkie.eu;http://www.janowicewielkie.eu/;1
0206062;Jeżów Sudecki;dolnośląskie;jeleniogórski;GW;Urząd Gminy Jeżów Sudecki;Jeżów Sudecki;58-521;Jeżów Sudecki;ul. Długa;63;(75);713-22-54;131;(75);713-22-55;Wójt;Edward Jan;Dudek;gmina@jezowsudecki.pl;www.jezowsudecki.pl;1
0206072;Mysłakowice;dolnośląskie;jeleniogórski;GW;Urząd Gminy Mysłakowice;Mysłakowice;58-533;Mysłakowice;ul. Szkolna;5;(75);643-99-60;;(75);643-99-99;Wójt;Michał;Orman;gmina@myslakowice.pl;www.myslakowice.pl;1
